bulan,provinsi,rata_rata_harga
2025-01,Aceh,13751.851851851852
2025-01,Bali,15116.666666666666
2025-01,Banten,14942.592592592593
2025-01,Bengkulu,15144.444444444445
2025-01,DI Yogyakarta,14150.0
2025-01,DKI Jakarta,15671.153846153846
2025-01,Gorontalo,14546.296296296296
2025-01,Jambi,15050.0
2025-01,Jawa Barat,14625.925925925925
2025-01,Jawa Tengah,14538.888888888889
2025-01,Jawa Timur,14098.148148148148
2025-01,Kalimantan Barat,16500.0
2025-01,Kalimantan Selatan,17318.51851851852
2025-01,Kalimantan Tengah,17614.814814814814
2025-01,Kalimantan Timur,15950.0
2025-01,Kalimantan Utara,16563.46153846154
2025-01,Kepulauan Bangka Belitung,15019.23076923077
2025-01,Kepulauan Riau,15209.25925925926
2025-01,Lampung,14533.333333333334
2025-01,Maluku,16096.296296296296
2025-01,Maluku Utara,16700.0
2025-01,Nusa Tenggara Barat,13877.777777777777
2025-01,Nusa Tenggara Timur,15420.37037037037
2025-01,Papua,16685.185185185186
2025-01,Papua Barat,16409.25925925926
2025-01,Riau,15919.23076923077
2025-01,Sulawesi Barat,13288.888888888889
2025-01,Sulawesi Selatan,13398.148148148148
2025-01,Sulawesi Tengah,14542.592592592593
2025-01,Sulawesi Tenggara,14816.666666666666
2025-01,Sulawesi Utara,14048.148148148148
2025-01,Sumatera Barat,17219.23076923077
2025-01,Sumatera Selatan,14937.037037037036
2025-01,Sumatera Utara,13764.814814814816
2025-02,Aceh,13744.642857142857
2025-02,Bali,15187.5
2025-02,Banten,14957.142857142857
2025-02,Bengkulu,15183.333333333334
2025-02,DI Yogyakarta,14150.0
2025-02,DKI Jakarta,15703.703703703704
2025-02,Gorontalo,14694.642857142857
2025-02,Jambi,15050.0
2025-02,Jawa Barat,14558.92857142857
2025-02,Jawa Tengah,14542.857142857143
2025-02,Jawa Timur,14169.642857142857
2025-02,Kalimantan Barat,16561.11111111111
2025-02,Kalimantan Selatan,17039.583333333332
2025-02,Kalimantan Tengah,17450.0
2025-02,Kalimantan Timur,15939.285714285714
2025-02,Kalimantan Utara,16543.18181818182
2025-02,Kepulauan Bangka Belitung,15057.407407407407
2025-02,Kepulauan Riau,15200.0
