bulan,provinsi,komoditas,rata_rata_harga
2025-01,Aceh,Bawang Merah,44809.25925925926
2025-01,Aceh,Bawang Putih,43451.851851851854
2025-01,Aceh,Beras,13751.851851851852
2025-01,Aceh,Cabai Merah,51353.7037037037
2025-01,Aceh,Cabai Rawit,52685.18518518518
2025-01,Aceh,Daging Ayam,35200.0
2025-01,Aceh,Daging Sapi,144983.33333333334
2025-01,Aceh,Gula Pasir,19366.666666666668
2025-01,Aceh,Minyak Goreng,21024.074074074073
2025-01,Aceh,Telur Ayam,31331.48148148148
2025-01,Bali,Bawang Merah,36196.2962962963
2025-01,Bali,Bawang Putih,38370.37037037037
2025-01,Bali,Beras,15116.666666666666
2025-01,Bali,Cabai Merah,63248.148148148146
2025-01,Bali,Cabai Rawit,68718.51851851853
2025-01,Bali,Daging Ayam,40429.62962962963
2025-01,Bali,Daging Sapi,132850.0
2025-01,Bali,Gula Pasir,18688.88888888889
2025-01,Bali,Minyak Goreng,20525.925925925927
2025-01,Bali,Telur Ayam,28850.0
2025-01,Banten,Bawang Merah,36531.48148148148
2025-01,Banten,Bawang Putih,43500.0
2025-01,Banten,Beras,14942.592592592593
2025-01,Banten,Cabai Merah,64994.444444444445
2025-01,Banten,Cabai Rawit,86264.81481481482
2025-01,Banten,Daging Ayam,37761.11111111111
2025-01,Banten,Daging Sapi,129150.0
2025-01,Banten,Gula Pasir,18281.48148148148
2025-01,Banten,Minyak Goreng,18938.88888888889
2025-01,Banten,Telur Ayam,28540.74074074074
2025-01,Bengkulu,Bawang Merah,40707.40740740741
2025-01,Bengkulu,Bawang Putih,42966.666666666664
2025-01,Bengkulu,Beras,15144.444444444445
2025-01,Bengkulu,Cabai Merah,50814.81481481482
2025-01,Bengkulu,Cabai Rawit,49901.851851851854
2025-01,Bengkulu,Daging Ayam,36574.07407407407
2025-01,Bengkulu,Daging Sapi,135242.59259259258
2025-01,Bengkulu,Gula Pasir,18638.88888888889
2025-01,Bengkulu,Minyak Goreng,19907.40740740741
2025-01,Bengkulu,Telur Ayam,29390.74074074074
2025-01,DI Yogyakarta,Bawang Merah,39861.11111111111
2025-01,DI Yogyakarta,Bawang Putih,44500.0
2025-01,DI Yogyakarta,Beras,14150.0
2025-01,DI Yogyakarta,Cabai Merah,68562.96296296296
2025-01,DI Yogyakarta,Cabai Rawit,72488.88888888889
2025-01,DI Yogyakarta,Daging Ayam,35638.88888888889
2025-01,DI Yogyakarta,Daging Sapi,136250.0
2025-01,DI Yogyakarta,Gula Pasir,17740.74074074074
2025-01,DI Yogyakarta,Minyak Goreng,20083.333333333332
2025-01,DI Yogyakarta,Telur Ayam,27970.37037037037
2025-01,DKI Jakarta,Bawang Merah,42009.61538461538
2025-01,DKI Jakarta,Bawang Putih,50455.769230769234
2025-01,DKI Jakarta,Beras,15671.153846153846
2025-01,DKI Jakarta,Cabai Merah,67015.38461538461
2025-01,DKI Jakarta,Cabai Rawit,93517.30769230769
2025-01,DKI Jakarta,Daging Ayam,36994.230769230766
2025-01,DKI Jakarta,Daging Sapi,134600.0
2025-01,DKI Jakarta,Gula Pasir,19480.76923076923
2025-01,DKI Jakarta,Minyak Goreng,20598.076923076922
2025-01,DKI Jakarta,Telur Ayam,28880.76923076923
2025-01,Gorontalo,Bawang Merah,42183.333333333336
2025-01,Gorontalo,Bawang Putih,47772.22222222222
2025-01,Gorontalo,Beras,14546.296296296296
2025-01,Gorontalo,Cabai Merah,37681.48148148148
2025-01,Gorontalo,Cabai Rawit,63625.92592592593
2025-01,Gorontalo,Daging Ayam,33907.40740740741
2025-01,Gorontalo,Daging Sapi,132500.0
2025-01,Gorontalo,Gula Pasir,19751.85185185185
2025-01,Gorontalo,Minyak Goreng,25053.703703703704
2025-01,Gorontalo,Telur Ayam,33331.48148148148
2025-01,Jambi,Bawang Merah,39135.18518518518
2025-01,Jambi,Bawang Putih,41453.7037037037
2025-01,Jambi,Beras,15050.0
2025-01,Jambi,Cabai Merah,51703.7037037037
2025-01,Jambi,Cabai Rawit,73514.81481481482
2025-01,Jambi,Daging Ayam,36533.333333333336
2025-01,Jambi,Daging Sapi,136900.0
2025-01,Jambi,Gula Pasir,18483.333333333332
2025-01,Jambi,Minyak Goreng,20235.185185185186
2025-01,Jambi,Telur Ayam,26062.962962962964
2025-01,Jawa Barat,Bawang Merah,38066.666666666664
2025-01,Jawa Barat,Bawang Putih,43766.666666666664
2025-01,Jawa Barat,Beras,14625.925925925925
2025-01,Jawa Barat,Cabai Merah,66892.5925925926
2025-01,Jawa Barat,Cabai Rawit,84057.4074074074
2025-01,Jawa Barat,Daging Ayam,36570.37037037037
2025-01,Jawa Barat,Daging Sapi,140066.66666666666
2025-01,Jawa Barat,Gula Pasir,18596.296296296296
2025-01,Jawa Barat,Minyak Goreng,20892.59259259259
2025-01,Jawa Barat,Telur Ayam,28701.85185185185
2025-01,Jawa Tengah,Bawang Merah,37342.59259259259
2025-01,Jawa Tengah,Bawang Putih,42990.74074074074
2025-01,Jawa Tengah,Beras,14538.888888888889
2025-01,Jawa Tengah,Cabai Merah,55925.92592592593
2025-01,Jawa Tengah,Cabai Rawit,60459.25925925926
2025-01,Jawa Tengah,Daging Ayam,35105.555555555555
2025-01,Jawa Tengah,Daging Sapi,128075.92592592593
2025-01,Jawa Tengah,Gula Pasir,18292.59259259259
2025-01,Jawa Tengah,Minyak Goreng,20096.296296296296
2025-01,Jawa Tengah,Telur Ayam,27603.703703703704
2025-01,Jawa Timur,Bawang Merah,37133.333333333336
2025-01,Jawa Timur,Bawang Putih,38787.03703703704
2025-01,Jawa Timur,Beras,14098.148148148148
2025-01,Jawa Timur,Cabai Merah,51520.37037037037
2025-01,Jawa Timur,Cabai Rawit,55927.77777777778
2025-01,Jawa Timur,Daging Ayam,34775.92592592593
2025-01,Jawa Timur,Daging Sapi,120961.11111111111
2025-01,Jawa Timur,Gula Pasir,17696.296296296296
2025-01,Jawa Timur,Minyak Goreng,19827.777777777777
2025-01,Jawa Timur,Telur Ayam,27396.296296296296
2025-01,Kalimantan Barat,Bawang Merah,41447.916666666664
