tanggal,commodity_id,komoditas,provinsi,id_provinsi,harga,show,avg_api,stddev_api,bulan
2024-01-01,1,Beras,Aceh,1,13750.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Sumatera Utara,2,13400.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Sumatera Barat,3,16400.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Kepulauan Riau,5,14300.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Jambi,6,14150.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Kepulauan Bangka Belitung,9,14600.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Banten,11,14600.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Jawa Barat,12,14000.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Jawa Tengah,14,13700.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,DI Yogyakarta,15,14000.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Jawa Timur,16,13750.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Bali,17,13950.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Nusa Tenggara Barat,18,13300.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Kalimantan Selatan,21,17700.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Kalimantan Tengah,22,18800.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Kalimantan Timur,23,15050.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Gorontalo,25,14500.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Sulawesi Selatan,26,13000.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Sulawesi Tenggara,27,14100.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Sulawesi Utara,29,13600.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Sulawesi Barat,30,13250.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Maluku,31,15200.0,True,14550.0,6900.0,2024-01
2024-01-01,1,Beras,Papua Barat,34,15450.0,True,14550.0,6900.0,2024-01
2024-01-01,2,Daging Ayam,Aceh,1,29550.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Sumatera Utara,2,33950.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Sumatera Barat,3,44000.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Kepulauan Riau,5,37700.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Jambi,6,32600.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Kepulauan Bangka Belitung,9,38250.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Banten,11,37750.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Jawa Barat,12,35200.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Jawa Tengah,14,33150.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,DI Yogyakarta,15,34750.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Jawa Timur,16,31900.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Bali,17,34500.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Nusa Tenggara Barat,18,37700.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Kalimantan Selatan,21,50000.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Kalimantan Tengah,22,50000.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Kalimantan Timur,23,37300.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Gorontalo,25,29050.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Sulawesi Selatan,26,28800.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Sulawesi Tenggara,27,37250.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Sulawesi Utara,29,35400.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Sulawesi Barat,30,30150.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Maluku,31,40900.0,True,36950.0,18000.0,2024-01
2024-01-01,2,Daging Ayam,Papua Barat,34,49650.0,True,36950.0,18000.0,2024-01
2024-01-01,3,Daging Sapi,Aceh,1,145850.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Sumatera Utara,2,133750.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Sumatera Barat,3,148750.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Kepulauan Riau,5,99250.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Jambi,6,136900.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Kepulauan Bangka Belitung,9,139700.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Banten,11,132500.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Jawa Barat,12,139600.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Jawa Tengah,14,126750.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,DI Yogyakarta,15,136250.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Jawa Timur,16,118200.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Bali,17,120650.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Nusa Tenggara Barat,18,117650.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Kalimantan Selatan,21,159400.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Kalimantan Tengah,22,154100.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Kalimantan Timur,23,155350.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Gorontalo,25,132500.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Sulawesi Selatan,26,123000.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Sulawesi Tenggara,27,138150.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Sulawesi Utara,29,135000.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Sulawesi Barat,30,121650.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Maluku,31,133750.0,True,134600.0,64000.0,2024-01
2024-01-01,3,Daging Sapi,Papua Barat,34,147500.0,True,134600.0,64000.0,2024-01
2024-01-01,4,Telur Ayam,Aceh,1,28350.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Sumatera Utara,2,28850.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Sumatera Barat,3,26600.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Kepulauan Riau,5,27600.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Jambi,6,25700.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Kepulauan Bangka Belitung,9,31800.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Banten,11,26500.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Jawa Barat,12,27050.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Jawa Tengah,14,26350.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,DI Yogyakarta,15,27000.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Jawa Timur,16,25800.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Bali,17,26100.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Nusa Tenggara Barat,18,29550.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Kalimantan Selatan,21,31100.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Kalimantan Tengah,22,31200.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Kalimantan Timur,23,28700.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Gorontalo,25,34300.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Sulawesi Selatan,26,23950.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Sulawesi Tenggara,27,29650.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Sulawesi Utara,29,30200.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Sulawesi Barat,30,23750.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Maluku,31,34950.0,True,28850.0,13800.0,2024-01
2024-01-01,4,Telur Ayam,Papua Barat,34,38700.0,True,28850.0,13800.0,2024-01
2024-01-01,5,Bawang Merah,Aceh,1,40400.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Sumatera Utara,2,36700.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Sumatera Barat,3,37000.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Kepulauan Riau,5,41950.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Jambi,6,38000.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Kepulauan Bangka Belitung,9,41750.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Banten,11,44350.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Jawa Barat,12,39900.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Jawa Tengah,14,37400.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,DI Yogyakarta,15,39750.0,True,40000.0,19200.0,2024-01
2024-01-01,5,Bawang Merah,Jawa Timur,16,33700.0,True,40000.0,19200.0,2024-01
